field_1,acceptedSc,acceptedTa,adm1,associated,associat_1,basisOfRec,catalogNum,class,classKey,cloc,collection,collecti_1,coordinate,country,crawlId,datasetKey,datasetNam,dateIdenti,day,establishm,eventDate,eventTime,family,familyKey,fieldNumbe,fullCountr,gbifID,genericNam,genus,genusKey,geodeticDa,higherClas,higherGeog,hostingOrg,http_//unk,http_//u_1,http_//u_2,http_//u_3,http_//u_4,identifica,identifi_1,identified,identifier,inCluster,individual,informatio,installati,institutio,institut_1,institut_2,isInCluste,ISO2,iucnRedLis,key,kingdom,kingdomKey,language,lastCrawle,lastInterp,lastParsed,lat,license,lifeStage,locality,locationRe,lon,modified,month,nomenclatu,occurrence,occurren_1,occurren_2,order,orderKey,phylum,phylumKey,preparatio,programmeA,projectId,protocol,publishing,publishi_1,recordedBy,recordNumb,references,rightsHold,scientific,species,speciesKey,specificEp,startDayOf,taxonConce,taxonID,taxonKey,taxonomicS,taxonRank,type,verbatimEl,verbatimEv,verbatimLo,vernacular,year,downloadDa
"464","Parmarion martensi Simroth, 1893","5858372",NA,NA,NA,HUMAN_OBSERVATION,NA,Gastropoda,"225","TUTUILA, Samoa",NA,NA,NA,Samoa,"119",ed7d4c25-b00a-4b7f-b84b-1f5286bfba8f,NA,NA,NA,NA,NA,NA,Ariophantidae,"3244164",NA,Samoa,1839296253,Parmarion,Parmarion,"4598481",WGS84,NA,NA,cd3512e7-886c-4873-b629-740abe8ae74e,NA,NA,NA,NA,NA,NA,NA,NA,MNRE:SamoaBiodiversityDatabase:20180418:4188,FALSE,NA,NA,6b459ded-20ca-46f2-8323-5f4eed4b9fde,NA,NA,NA,FALSE,WS,NE,1839296253,Animalia,"1",NA,2021-11-22T19:41:29.147+00:00,2022-01-29T20:11:18.850+00:00,2022-01-29T20:11:18.850+00:00,-14.300000000000001,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NA,TUTUILA,NA,-170.710829999999987,NA,NA,NA,MNRE:SamoaBiodiversityDatabase:20180418:4188,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,BID,BID-PA2016-0005-REG,DWC_ARCHIVE,WS,9883fb4c-5a83-4fe9-8500-fb3010df3ea5,NA,"4188",NA,NA,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,NA,"5858372",ACCEPTED,SPECIES,NA,NA,NA,TUTUILA,English:  | Samoan:,NA,2022-02-20
"20","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"68031295",Gastropoda,"225","Hawaii, United States",Observations,NA,"5",United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-14T01:26:09,"11",NA,2021-01-11T17:43:20,00:43:20Z,Ariophantidae,"3244164",NA,United States of America,3032122669,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,andybridges,NA,NA,"150439052",NA,Andy Bridges,"68031295",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3032122669,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:26:38.889+00:00,2022-02-20T00:26:38.889+00:00,19.977461000000002,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,-155.231842000000000,2021-01-14T16:27:26.000+00:00,"1",NA,https://www.inaturalist.org/observations/68031295,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Andy Bridges,NA,https://www.inaturalist.org/observations/68031295,Andy Bridges,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,2021-01-11 5:43:20 PM HST,"Laupahoehoe, HI 96764, USA",NA,"2021",2022-02-20
"30","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"70681555",Gastropoda,"225","Hawaii, United States",Observations,NA,"11",United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-03-06T19:12:43,"6",NA,2021-03-06T08:47:57,18:47:57Z,Ariophantidae,"3244164",NA,United States of America,3059141111,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,gaudlis,NA,NA,"158078425",NA,gaudlis,"70681555",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3059141111,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T01:06:10.643+00:00,2022-02-20T01:06:10.643+00:00,19.993113000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,-155.253996999999998,2021-03-10T08:43:42.000+00:00,"3",NA,https://www.inaturalist.org/observations/70681555,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,gaudlis,NA,https://www.inaturalist.org/observations/70681555,gaudlis,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,Sat Mar 06 2021 08:47:57 GMT-1000 (HST),"Hawai<U+02BB>i, Hilo, HI, US",NA,"2021",2022-02-20
"40","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"74700467",Gastropoda,"225","Hawaii, United States",Observations,NA,NA,United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-04-21T02:15:40,"20",NA,2021-04-20T16:07:17,02:07:17Z,Ariophantidae,"3244164",NA,United States of America,3097339417,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,dryrunner,NA,NA,"166987041",NA,dryrunner,"74700467",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3097339417,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:38:24.692+00:00,2022-02-20T00:38:24.692+00:00,19.456295000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,-154.905441999999994,2021-04-23T17:52:23.000+00:00,"4",NA,https://www.inaturalist.org/observations/74700467,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,dryrunner,NA,https://www.inaturalist.org/observations/74700467,dryrunner,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,Tue Apr 20 2021 16:07:17 GMT-1000 (HST),"Hawai<U+02BB>i, Pahoa, HI, US",NA,"2021",2022-02-20
"80","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"89039411",Gastropoda,"225","Hawaii, United States",Observations,NA,"5",United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-07-29T09:18:08,"28",NA,2021-07-28T15:12:12,01:12:12Z,Ariophantidae,"3244164",NA,United States of America,3343738543,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,brnkvu,NA,NA,"195003124",NA,brnkvu,"89039411",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3343738543,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:53:24.727+00:00,2022-02-20T00:53:24.727+00:00,21.338550000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,-157.799820000000011,2021-08-24T23:23:59.000+00:00,"7",NA,https://www.inaturalist.org/observations/89039411,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,brnkvu,NA,https://www.inaturalist.org/observations/89039411,brnkvu,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,Wed Jul 28 2021 15:12:12 GMT-1000 (HST),"Honolulu Watershed Forest Reserve, Honolulu, HI, US",NA,"2021",2022-02-20
"81","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"89436282",Gastropoda,"225","Hawaii, United States",Observations,NA,NA,United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-08-01T05:01:54,"28",NA,2021-07-28T10:00:25,20:00:25Z,Ariophantidae,"3244164",NA,United States of America,3343875600,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,moventrice,NA,NA,"195821337",NA,Monica Ventrice,"89436282",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3343875600,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:24:10.162+00:00,2022-02-20T00:24:10.162+00:00,19.577964000000001,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,-155.938187999999997,2021-08-24T23:23:47.000+00:00,"7",NA,https://www.inaturalist.org/observations/89436282,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Monica Ventrice,NA,https://www.inaturalist.org/observations/89436282,Monica Ventrice,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,2021-07-28 10:00:25,"Honalo, HI, USA",NA,"2021",2022-02-20
"97","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"91883616",Gastropoda,"225","Hawaii, United States",Observations,NA,NA,United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-08-20T19:24:44,"12",NA,2021-08-12T11:08:00,21:08:00Z,Ariophantidae,"3244164",NA,United States of America,3343983904,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,tiwane,NA,NA,"200818717",NA,Tony Iwane,"91883616",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3343983904,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:29:13.213+00:00,2022-02-20T00:29:13.213+00:00,19.853719000000002,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Juvenile,NA,NA,-155.153741999999994,2021-09-10T19:40:50.000+00:00,"8",NA,https://www.inaturalist.org/observations/91883616,Just hanging out.,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Tony Iwane,NA,https://www.inaturalist.org/observations/91883616,Tony Iwane,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,2021/08/12 11:08 AM PDT,"Hawaii County, HI, USA",NA,"2021",2022-02-20
"125","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"101859700",Gastropoda,"225","Hawaii, United States",Observations,NA,NA,United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-11-25T02:20:39,"24",NA,2021-11-24T14:49:33,00:49:33Z,Ariophantidae,"3244164",NA,United States of America,3415867342,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,bholthus1021,NA,NA,"222662452",NA,bholthus1021,"101859700",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3415867342,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:51:12.260+00:00,2022-02-20T00:51:12.260+00:00,21.387132000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,-157.807863999999995,2021-11-26T04:27:40.000+00:00,"11",NA,https://www.inaturalist.org/observations/101859700,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,bholthus1021,NA,https://www.inaturalist.org/observations/101859700,bholthus1021,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,2021-11-24 14:49:33,"Kaneohe, HI 96744, USA",NA,"2021",2022-02-20
"145","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"103955169",Gastropoda,"225","Hawaii, United States",Observations,NA,"40",United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-12-30T12:50:31,"29",NA,2021-12-29T21:30:38,07:30:38Z,Ariophantidae,"3244164",NA,United States of America,3456668379,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,matthewt6416,NA,NA,"228662477",NA,Matthew Thompson,"103955169",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,3456668379,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:31:10.398+00:00,2022-02-20T00:31:10.398+00:00,19.605878000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,-154.948045000000008,2021-12-31T21:00:51.000+00:00,"12",NA,https://www.inaturalist.org/observations/103955169,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Matthew Thompson,NA,https://www.inaturalist.org/observations/103955169,Matthew Thompson,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,Wed Dec 29 2021 21:30:38 GMT-1000 (HST),"Hawai<U+02BB>i, Keaau, HI, US",NA,"2021",2022-02-20
"164","Parmarion martensi Simroth, 1893","5858372",Hawaii,NA,NA,HUMAN_OBSERVATION,"41417495",Gastropoda,"225","Hawaii, United States",Observations,NA,"15",United States,"293",50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-04-05T03:15:53,"12",NA,2020-03-12T07:17:00,17:17:00Z,Ariophantidae,"3244164",NA,United States of America,2597825290,Parmarion,Parmarion,"4598481",WGS84,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,johnfraser1,NA,NA,"93695256",NA,John,"41417495",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,US,NE,2597825290,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:21:01.854+00:00,2022-02-20T00:21:01.854+00:00,19.465865000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,-154.928846999999990,2020-04-18T19:37:20.000+00:00,"3",NA,https://www.inaturalist.org/observations/41417495,NA,PRESENT,Stylommatophora,"1456",Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,John,NA,https://www.inaturalist.org/observations/41417495,John,"Parmarion martensi Simroth, 1893",Parmarion martensi,"5858372",martensi,NA,NA,"171862","5858372",ACCEPTED,SPECIES,NA,NA,2020/03/12 7:17 AM HST,"Leilani Estates, HI 96778, USA",NA,"2020",2022-02-20
